year,total_n,cracked_n,corroded_n,cracked_mean,corroded_mean,mean_difference,exact_count_match,near_mean_match,score
2026,6897,3167,3730,51720.256394063785,48545.31769436997,3174.938699693812,False,False,1779.6364591156623
2002,9833,5795,4038,45750.375668679895,39403.03145121347,6347.344217466423,False,False,7802.758128801066
2003,10029,5755,4274,46527.510860121634,40860.07136172204,5667.439498399595,False,False,8172.416377781564
2000,11810,6414,5396,51450.272840661055,51577.464418087475,-127.19157742641983,False,False,11633.047915774265
2001,11912,6713,5199,49416.16937285863,47217.20907866897,2198.960294189659,False,False,11845.958415484723
1999,219,95,124,46412.04210526316,78209.20967741935,-31797.16757215619,False,False,11931.747675721563
1998,34,25,9,16373.48,7675.333333333333,8698.146666666667,False,False,12719.804066666667
1997,6,5,1,18074.6,6922.0,11152.599999999999,False,False,12766.3262
2004,12512,6125,6387,45665.42775510204,40957.58963519649,4707.838119905551,False,False,13146.062026097015
2005,12952,7304,5648,50343.295454545456,43152.135800283286,7191.15965426217,False,False,13957.337887451713
2006,18043,9414,8629,49299.38368387508,41928.77054119828,7370.613142676797,False,False,24162.010657749266
2023,19497,9278,10219,52066.77020909679,45062.55034739211,7004.219861704674,False,False,27012.26619861705
2008,19517,11230,8287,53219.28334817453,49377.93375165923,3841.349596515305,False,False,27031.67997099834
2007,20198,11802,8396,49958.121335366886,41758.56705574083,8199.554279626056,False,False,28467.12531608892
2009,21404,11569,9835,48288.13371942259,44884.71174377224,3403.4219756503517,False,False,30864.56374536805
2017,23555,9854,13701,50379.426831743454,50301.39581052478,78.03102121867414,False,False,35120.995689787815
2022,23793,10265,13528,52715.861568436434,48080.524024246006,4635.337544190428,False,False,35580.577375441906
2020,24779,9463,15316,50159.3268519497,47996.68849569078,2162.638356258918,False,False,37564.7320465236
2010,24839,11723,13116,50781.48374989337,42791.94304666057,7989.5407032328,False,False,37730.55793203446
2018,25213,10667,14546,48670.482141183085,50123.12622026674,-1452.6440790836568,False,False,38452.30244079084
2025,25288,10978,14310,54834.45791583166,51459.72410901468,3374.7338068169847,False,False,38610.64962024846
2024,27354,12564,14790,52559.0776822668,47225.44496281271,5333.632719454086,False,False,42709.560327194544
2021,27608,10326,17282,55421.15988766221,49134.63233422058,6286.527553441629,False,False,43233.26572221883
2015,28312,14189,14123,46633.17689759673,43326.46357006302,3306.713327533711,False,False,44712.6957953234
2012,28425,13302,15123,48596.43993384454,39658.50122330226,8937.93871054228,False,False,44955.74278842853
2016,28681,12709,15972,48808.669840270675,45051.40057600801,3757.2692642626644,False,False,45411.691495837214
2014,28737,14694,14043,46954.746495168096,42818.563839635404,4136.182655532692,False,False,45564.55909665197
2011,29110,12751,16359,50873.4741588895,42271.9682743444,8601.505884545099,False,False,46276.83777566766
2019,29771,12513,17258,64803.91536801726,184899.08975547572,-120095.17438745846,False,False,49010.73785123493
2013,31360,15548,15812,47391.628762541804,40479.87383000253,6911.754932539276,False,False,50829.57717407456
1995,0,0,0,,,,False,False,
1996,3,3,0,20664.0,,,False,False,
