statistic,value
total_n,27354.0
cracked_n,12564.0
corroded_n,14790.0
cracked_mean,52559.0776822668
corroded_mean,47225.44496281271
mean_difference_cracked_minus_corroded,5333.632719454086
welch_standard_error,316.7924563346026
welch_degrees_of_freedom,27201.485879387637
t_statistic,16.836362775698785
p_value,2.7650048269706913e-63
ci_95_lower,4712.703285440425
ci_95_upper,5954.5621534677475
effect_r_from_t,0.10155488234156897
effect_r_squared_from_t,0.010313394127409916
point_biserial_r,0.10055795130683955
regression_intercept,47225.444962812595
regression_slope_cracked,5333.632719453918
regression_slope_se,316.8041085273847
regression_r_squared,0.010111901571028703
